"","SVN","rid","sum_1095_days","FSS_26Aug14","PDISRSA_1YR","POWNRCA_PRI","PALITHERODRCA","PASILTRCA","DAPOPRCA2010"
"405","07099DFW",24186,5027.35199985616,7,20.4081632653061,90.5102040816327,100,34.3791947870607,0.000510674895160039
"406","07100DFW",23625,5349.62633507201,68,5.38922155688623,39.2713800555727,100,35.139806258532,0.00529765005401494
"407","07101DFW",23146,4870.86058527023,10,6.62020905923345,36.9075630252101,100,38.167785678849,0.00586857748466409
"408","07102DFW",27878,5296.65504691247,11,10.5263157894737,100,99.8990936083546,43.2489233793253,5.36043739526926e-05
"409","07103DFW",27753,7019.90749453601,19,0,37.4301675977654,96.8111267740014,41.8203067720888,0.000255477843852087
"410","07104DFW",26450,6273.18841187283,19,89.2116182572614,82.919621749409,80.9273182135733,41.8925493568769,0.00828342244791001
"411","07105DFW",17799,5806.48443296407,40,59.6256684491979,82.6402805611223,100,34.6170441001192,0.00402456852207743
"412","07106DFW",17799,5836.99141700433,32,59.6256684491979,82.6402805611223,100,34.6170441001192,0.00384264766350705
"413","07107DFW",19486,6203.41532674618,19,0,0,100,35.2002498798654,5.25858934145386e-05
"414","07108DFW",23625,5345.20253061012,4,5.38922155688623,39.2713800555727,100,35.139806258532,0.00551106259825777
"415","07109DFW",22868,4857.47999448515,13,2.20588235294118,52.3505976095618,17.9282868525896,44.4438247011952,0
"416","07110DFW",10299,5855.7600002903,13,0,100,100,36.6279215772662,0
"417","07111DFW",10254,5982.22999178246,16,0,0.388098318240621,100,36.8517464424321,0.00245028613321147
"418","07112DFW",20472,5362.81750120409,9,8.57142857142857,100,100,36.799683655536,0.0012149535652309
"419","07113DFW",22634,4619.20000979304,45,65.2173913043478,83.1730769230769,100,39.1693766937669,0.0801800387694096
"420","07114DFW",11956,5911.72845238404,21,4.34782608695652,99.5121951219512,100,38.0564360473019,2.98182879987071e-05
"421","07116DFW",19187,7357.0349995892,8,6.25,0,100,35.3629692065436,0.000113687915610401
"422","07117DFW",28642,7190.23998217285,5,1.08695652173913,0,68.0159342499048,35.8930785123967,0
"423","07118DFW",25721,6069.6049205663,14,0,0,99.9329584263371,42.3290217271597,3.13854250253105e-05
"424","07119DFW",28309,8601.2687292769,3,0,0,91.528208002422,33.5734884182332,0
"425","07120DFW",21878,3895.94574853897,24,46.1111111111111,80.8444902162719,89.9615690503889,47.7725617977528,0.00790031094270376
"426","07121DFW",20724,3790.12979927506,21,50.9433962264151,23.1160033869602,59.4887907844609,45.928131374949,0.0140229506692496
"427","07124DFW",21871,3874.10954536506,34,0,71.765601217656,100,42.7888992132813,5.80845785585823e-05
