"","formula","EstMethod","Variance_Components","neg2LogL","AIC","bias","std.bias","RMSPE","RAV","std.MSPE","cov.80","cov.90","cov.95"
"21","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + sum_1095_days * PDISRSA_1YR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1183.30551630106,-1159.30551630106,-0.00105741598162275,-0.00238655049948502,0.104695315080946,0.106459567582025,0.984225313670478,0.830140485312899,0.900383141762452,0.934865900383142
"22","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + PASILTRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1187.12354758234,-1163.12354758234,-0.00115381848585604,-0.00260449409237733,0.104988264956064,0.106617638819727,0.985275662750147,0.828863346104725,0.901660280970626,0.933588761174968
"23","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + PASILTRCA + PDISRSA_1YR * PASILTRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1187.56705512692,-1161.56705512692,-0.00114182820634403,-0.00257808297129162,0.105061542421977,0.106688539942846,0.985006574408648,0.828863346104725,0.9029374201788,0.931034482758621
"24","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + PASILTRCA + PDISRSA_1YR * sum_1095_days","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1191.54988067469,-1165.54988067469,-0.00103675784343449,-0.00234943193839853,0.104751802177748,0.106304982827785,0.986368501492001,0.827586206896552,0.901660280970626,0.933588761174968
"25","log10_FSS_26Aug14 ~ sum_1095_days + PDISRSA_1YR + PASILTRCA + PDISRSA_1YR * sum_1095_days + PDISRSA_1YR * PASILTRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1191.8074428859,-1163.8074428859,-0.00101346218672976,-0.00230063811820987,0.104880049299601,0.10635159828064,0.987451319748181,0.826309067688378,0.901660280970626,0.933588761174968
"26","log10_FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1166.96693375734,-1144.96693375734,-0.00116912508434349,-0.00263340378956604,0.105560739667033,0.107145860530374,0.984641120014135,0.831417624521073,0.905491698595147,0.939974457215837
"27","log10_FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + POWNRCA_PRI","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1191.74572469405,-1167.74572469405,-0.000951134125973434,-0.00217818458638642,0.104624115248544,0.105591516919642,0.998404231952408,0.828863346104725,0.905491698595147,0.936143039591316
"28","log10_FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + POWNRCA_PRI + POWNRCA_PRI * PASUSCEP5_DE","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1192.90337995729,-1166.90337995729,-0.000901202875920476,-0.00205304717814231,0.104590946876296,0.106418524983558,0.980537056411599,0.831417624521073,0.909323116219668,0.939974457215837
"29","log10_FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + POWNRCA_PRI + POWNRCA_PRI * PASUSCEP5_DE + PALITHERODRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1220.41309386639,-1192.41309386639,-0.000731951504735869,-0.00167565403352087,0.104026071288888,0.105190284813676,0.99023102326643,0.836526181353768,0.904214559386973,0.937420178799489
"30","log10_FSS_26Aug14 ~ sum_1095_days + PASUSCEP5_DE + POWNRCA_PRI + PALITHERODRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1219.76813169448,-1193.76813169448,-0.000747718631678456,-0.00171368937042986,0.103989132699905,0.105146686103067,0.989850076451964,0.841634738186462,0.9029374201788,0.939974457215837
"31","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PAOWNRCA_AGR + PDISRSA_1YR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1225.65834663061,-1197.65834663061,-0.000798061786260708,-0.00184188017792555,0.104337021009136,0.105363074221464,0.991814974762357,0.827586206896552,0.901660280970626,0.939974457215837
"32","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PAOWNRCA_AGR + PDISRSA_1YR + PAOWNRCA_AGR * PASILTRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1226.16535181285,-1196.16535181285,-0.000776343148687974,-0.00180476007750701,0.104579361135943,0.105465646893468,0.993287985297232,0.825031928480204,0.901660280970626,0.939974457215837
"33","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PAOWNRCA_AGR + PDISRSA_1YR + PAOWNRCA_AGR * sum_1095_days","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1227.15929741954,-1197.15929741954,-0.000858162061743192,-0.0019767655816606,0.104200252061205,0.105386714599428,0.991543910024799,0.828863346104725,0.901660280970626,0.94125159642401
"34","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + PAOWNRCA_AGR + PDISRSA_1YR + PAOWNRCA_AGR * PASILTRCA + PAOWNRCA_AGR * sum_1095_days","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1228.86085345859,-1196.86085345859,-0.000907067385995772,-0.0020780001198085,0.104335987335585,0.105416798723338,0.992801943737032,0.828863346104725,0.9029374201788,0.94125159642401
"35","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + DAROADX","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1204.84894410487,-1178.84894410487,-0.00631884597268138,-0.00346590185789881,0.184450717560329,0.5253352824812,0.988260106089615,0.836526181353768,0.9029374201788,0.934865900383142
"36","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + DAROADX + DAROADX * PALITHERODRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1205.14189144501,-1177.14189144501,0.0948569871123442,0.0103366041481664,2.66944542726335,2.41182852071786,0.993984673824177,0.836526181353768,0.901660280970626,0.933588761174968
"37","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + DAROADX + DAROADX * PASILTRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1205.45140838793,-1177.45140838793,0.058419139147404,0.00817269161908646,1.64955351914748,1.40927917443268,0.993720313090064,0.83397190293742,0.901660280970626,0.934865900383142
"38","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + DAROADX + DAROADX * PASILTRCA + DAROADX * PALITHERODRCA","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1205.69847217812,-1175.69847217812,0.122196371848317,0.0134539405594073,3.4317512694418,2.51128819467698,0.995785620417963,0.83397190293742,0.901660280970626,0.934865900383142
"39","log10_FSS_26Aug14 ~ sum_1095_days + PALITHERODRCA + PASILTRCA + STRMPWR + POWNRCA_PRI + PDISRSA_1YR","ML","Exponential.tailup + Exponential.taildown + Exponential.Euclid + locID + Nugget",-1241.04954329556,-1211.04954329556,-0.000936893018929424,-0.00206160072380523,0.104072311622012,0.10484458397685,0.994405861136692,0.826309067688378,0.899106002554278,0.943805874840358
